                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.876,                 3.8323,                 2.2912,                 1.8085,                0.35759,                0.34685,                0.26224,                0.12122,                0.34855,                0.32627,                0.23667,                0.08272,                  1.766,                 3.3817,                 2.1692,                 1.8434,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.6311,                 3.0554,                 1.7883,                 1.5888,                0.39662,                0.38067,                0.30298,                0.14131,                0.39103,                0.35822,                0.28492,                0.10514,                 1.7743,                 3.2536,                 2.0479,                 1.7989,              0.0066334,              0.0066334,              0.0066334
                      3,                 1.6689,                 3.0641,                 1.7774,                 1.6216,                0.40079,                 0.3619,                0.29103,                0.13128,                0.38242,                0.34531,                0.26761,                0.09566,                 1.8417,                 3.2427,                 2.0465,                  1.813,              0.0099404,              0.0099404,              0.0099404
                      4,                 1.6947,                 3.1037,                 1.7906,                 1.6561,                0.35349,                0.32934,                0.25245,                0.11276,                0.32043,                0.30968,                0.21632,                0.07441,                 1.8782,                 3.4398,                 2.2428,                 1.8918,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.682,                 3.0506,                 1.7612,                 1.6348,                0.39048,                0.44209,                 0.3399,                0.15327,                0.40314,                0.41567,                0.32314,                0.11654,                 1.7734,                 3.1738,                 1.9811,                  1.762,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6784,                 3.0447,                 1.7377,                 1.6363,                0.36996,                0.42028,                 0.2981,                0.12581,                0.36589,                 0.3788,                0.26732,                0.08822,                 1.8538,                 3.4245,                 2.3893,                 1.8271,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.6511,                 3.0063,                 1.7157,                 1.6302,                0.36633,                0.39078,                0.30867,                 0.1422,                0.35248,                0.36528,                0.27265,                0.09609,                 1.8025,                 3.2766,                 2.0146,                 1.7922,               0.009901,               0.009901,               0.009901
                      8,                 1.6505,                 2.9943,                 1.7007,                 1.6196,                0.30816,                0.30599,                0.20886,                0.08755,                0.28945,                0.26175,                0.16396,                0.04966,                 1.9685,                 4.1066,                 2.9615,                 1.8694,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.634,                 2.9651,                 1.6655,                 1.6123,                0.22586,                0.23257,                0.13488,                0.05394,                0.21183,                0.19693,                0.10165,                0.02832,                 2.1775,                  4.683,                 3.4011,                 2.0059,              0.0098614,              0.0098614,              0.0098614
                     10,                  1.604,                 2.9308,                  1.648,                 1.6153,                 0.3903,                0.42125,                0.33718,                0.15262,                0.38007,                0.39539,                0.29917,                0.10347,                  1.773,                 3.1866,                 1.9349,                  1.775,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.5973,                 2.9181,                 1.6292,                 1.5994,                0.44028,                0.41813,                0.35773,                0.16843,                0.43339,                0.39643,                0.32893,                0.11845,                 1.7521,                 3.1524,                 1.9529,                 1.7843,              0.0098218,              0.0098218,              0.0098218
